"run","baseline_total_loss","cull_total_loss","direct_cull_loss","net_loss_avoided","baseline_farms_affected","cull_farms_affected","baseline_farms_lost","cull_farms_lost","farms_culled"
366,123974.954778717,3254.82298526542,3254.82298526542,120720.131793452,124,3,124,3,3
367,113673.834011589,103206.142647427,77221.5695740084,10467.6913641618,113,102,113,102,77
368,139545.676689967,2982.02526236528,2982.02526236528,136563.651427602,139,3,139,3,3
369,119656.718912744,3475.14541313554,3475.14541313554,116181.573499609,119,3,119,3,3
370,148798.179479074,2821.50833171397,2821.50833171397,145976.67114736,150,3,149,3,3
371,139545.676689967,25075.1313095401,18918.9366011344,114470.545380427,139,25,139,25,19
372,113673.834011589,107935.79306481,82181.545000743,5738.040946779,113,107,113,107,82
373,139545.676689967,25833.2563374525,21154.1521652536,113712.420352515,139,26,139,26,21
374,113673.834011589,3012.21097490971,3012.21097490971,110661.623036679,113,3,113,3,3
375,139545.676689967,3156.99162340739,3156.99162340739,136388.68506656,139,3,139,3,3
376,113673.834011589,2964.76148750959,2964.76148750959,110709.072524079,113,3,113,3,3
377,123974.954778717,3238.53220122793,3238.53220122793,120736.422577489,124,3,124,3,3
378,113673.834011589,95166.8929771236,73249.602742967,18506.9410344652,113,94,113,94,72
379,147681.143622957,2756.81545867171,2756.81545867171,144924.328164286,150,3,148,3,3
380,113673.834011589,3547.11383563196,3547.11383563196,110126.720175957,113,3,113,3,3
381,136561.622378543,3050.65144414221,3050.65144414221,133510.970934401,136,3,136,3,3
382,139545.676689967,110135.240435066,75778.0626594026,29410.4362549014,139,109,139,109,75
383,113673.834011589,3043.978335388,3043.978335388,110629.855676201,113,3,113,3,3
384,139545.676689967,3259.29965864877,3259.29965864877,136286.377031318,139,3,139,3,3
385,113673.834011589,113673.834011589,83267.3171885227,0,113,113,113,113,83
386,113673.834011589,9845.04074306247,8091.72211869073,103828.793268526,113,10,113,10,8
387,113673.834011589,107834.424629084,87335.6238847414,5839.40938250473,113,107,113,107,87
388,139545.676689967,2846.66263750104,2846.66263750104,136699.014052466,139,3,139,3,3
389,136561.622378543,3400.78415853353,3400.78415853353,133160.83822001,136,3,136,3,3
390,149846.797457096,97924.6301934166,77554.9497994562,51922.167263679,150,97,150,97,77
391,123974.954778717,2773.61744632264,2773.61744632264,121201.337332395,124,3,124,3,3
392,113673.834011589,2838.74805226438,2838.74805226438,110835.085959324,113,3,113,3,3
393,113673.834011589,86940.5925614442,67192.287026693,26733.2414501446,113,86,113,86,67
394,113673.834011589,3248.99257995562,3248.99257995562,110424.841431633,113,3,113,3,3
395,113673.834011589,109713.305894615,92194.1005464532,3960.52811697389,113,109,113,109,92
396,113673.834011589,2994.62820658399,2994.62820658399,110679.205805005,113,3,113,3,3
397,139545.676689967,2891.8077112796,2891.8077112796,136653.868978688,139,3,139,3,3
